"species"	"dataset"	"description"	"version"	"genes_considered"	"intergenic_distance"	"comment"	"rank_name"	"distance"	"pretty.names"
"Drill"	"mleucophaeus_gene_ensembl"	"Drill genes (Mleu.le_1.0)"	"Mleu.le_1.0"	"Hoxb1_Hoxb9"	90208	""	"Primates"	90.208	"Other Primates"
"Drill"	"mleucophaeus_gene_ensembl"	"Drill genes (Mleu.le_1.0)"	"Mleu.le_1.0"	"Hoxb9_Hoxb13"	98759	""	"Primates"	98.759	"Other Primates"
"Duck"	"applatyrhynchos_gene_ensembl"	"Duck genes (CAU_duck1.0)"	"CAU_duck1.0"	"Hoxb1_Hoxb9"	97625	""	"Aves"	97.625	"Aves"
"Duck"	"applatyrhynchos_gene_ensembl"	"Duck genes (CAU_duck1.0)"	"CAU_duck1.0"	"Hoxb9_Hoxb13"	42127	""	"Aves"	42.127	"Aves"
"Eastern brown snake"	"ptextilis_gene_ensembl"	"Eastern brown snake genes (EBS10Xv2-PRI)"	"EBS10Xv2-PRI"	"Hoxb1_Hoxb9"	131707	""	"Lepidosauria"	131.707	"Reptilia"
"Eastern brown snake"	"ptextilis_gene_ensembl"	"Eastern brown snake genes (EBS10Xv2-PRI)"	"EBS10Xv2-PRI"	"Hoxb9_Hoxb13"	118445	""	"Lepidosauria"	118.445	"Reptilia"
"Eastern happy"	"acalliptera_gene_ensembl"	"Eastern happy genes (fAstCal1.2)"	"fAstCal1.2"	"Hoxb1_Hoxb9"	139558	"ignored_8_genes__"	"Actinopterygii"	139.558	"Actinopterygii"
"Eastern happy"	"acalliptera_gene_ensembl"	"Eastern happy genes (fAstCal1.2)"	"fAstCal1.2"	"Hoxb9_Hoxb13"	71965	"ignored_LS419833.1_genes__"	"Actinopterygii"	71.965	"Actinopterygii"
"Electric eel"	"eelectricus_gene_ensembl"	"Electric eel genes (Ee_SOAP_WITH_SSPACE)"	"Ee_SOAP_WITH_SSPACE"	"Hoxb1_Hoxb9"	85440	"ignored_RBHW02000095.1_genes__"	"Actinopterygii"	85.44	"Actinopterygii"
"Electric eel"	"eelectricus_gene_ensembl"	"Electric eel genes (Ee_SOAP_WITH_SSPACE)"	"Ee_SOAP_WITH_SSPACE"	"Hoxb9_Hoxb13"	29598	""	"Actinopterygii"	29.598	"Actinopterygii"
"Elephant"	"lafricana_gene_ensembl"	"Elephant genes (Loxafr3.0)"	"Loxafr3.0"	"Hoxb1_Hoxb9"	90086	""	"Eutheria"	90.086	"Other Placentalia"
"Elephant"	"lafricana_gene_ensembl"	"Elephant genes (Loxafr3.0)"	"Loxafr3.0"	"Hoxb9_Hoxb13"	61741	""	"Eutheria"	61.741	"Other Placentalia"
"Elephant shark"	"cmilii_gene_ensembl"	"Elephant shark genes (Callorhinchus_milii-6.1.3)"	"Callorhinchus_milii-6.1.3"	"Hoxb1_Hoxb9"	74161	""	"Vertebrata"	74.161	"Other Vertebrata"
"Elephant shark"	"cmilii_gene_ensembl"	"Elephant shark genes (Callorhinchus_milii-6.1.3)"	"Callorhinchus_milii-6.1.3"	"Hoxb9_Hoxb13"	60165	""	"Vertebrata"	60.165	"Other Vertebrata"
"Eurasian red squirrel"	"svulgaris_gene_ensembl"	"Eurasian red squirrel genes (mSciVul1.1)"	"mSciVul1.1"	"Hoxb1_Hoxb9"	87564	""	"Eutheria"	87.564	"Other Placentalia"
"Eurasian red squirrel"	"svulgaris_gene_ensembl"	"Eurasian red squirrel genes (mSciVul1.1)"	"mSciVul1.1"	"Hoxb9_Hoxb13"	70289.5	"multiple_extremities_this_is_average"	"Eutheria"	70.2895	"Other Placentalia"
"Ferret"	"mpfuro_gene_ensembl"	"Ferret genes (MusPutFur1.0)"	"MusPutFur1.0"	"Hoxb1_Hoxb9"	89315	""	"Eutheria"	89.315	"Other Placentalia"
"Ferret"	"mpfuro_gene_ensembl"	"Ferret genes (MusPutFur1.0)"	"MusPutFur1.0"	"Hoxb9_Hoxb13"	70436	""	"Eutheria"	70.436	"Other Placentalia"
"Fugu"	"trubripes_gene_ensembl"	"Fugu genes (fTakRub1.2)"	"fTakRub1.2"	"Hoxb1_Hoxb9"	117376	""	"Actinopterygii"	117.376	"Actinopterygii"
"Fugu"	"trubripes_gene_ensembl"	"Fugu genes (fTakRub1.2)"	"fTakRub1.2"	"Hoxb9_Hoxb13"	26711.5	"multiple_extremities_this_is_average"	"Actinopterygii"	26.7115	"Actinopterygii"
"Giant panda"	"amelanoleuca_gene_ensembl"	"Giant panda genes (ASM200744v2)"	"ASM200744v2"	"Hoxb1_Hoxb9"	86343	""	"Eutheria"	86.343	"Other Placentalia"
"Giant panda"	"amelanoleuca_gene_ensembl"	"Giant panda genes (ASM200744v2)"	"ASM200744v2"	"Hoxb9_Hoxb13"	68231	""	"Eutheria"	68.231	"Other Placentalia"
"Gilthead seabream"	"saurata_gene_ensembl"	"Gilthead seabream genes (fSpaAur1.1)"	"fSpaAur1.1"	"Hoxb1_Hoxb9"	156125	"ignored_20_genes__"	"Actinopterygii"	156.125	"Actinopterygii"
"Gilthead seabream"	"saurata_gene_ensembl"	"Gilthead seabream genes (fSpaAur1.1)"	"fSpaAur1.1"	"Hoxb9_Hoxb13"	63580	""	"Actinopterygii"	63.58	"Actinopterygii"
"Goat"	"chircus_gene_ensembl"	"Goat genes (ARS1)"	"ARS1"	"Hoxb1_Hoxb9"	87580	""	"Eutheria"	87.58	"Other Placentalia"
"Goat"	"chircus_gene_ensembl"	"Goat genes (ARS1)"	"ARS1"	"Hoxb9_Hoxb13"	72621	""	"Eutheria"	72.621	"Other Placentalia"
"Golden eagle"	"acchrysaetos_gene_ensembl"	"Golden eagle genes (bAquChr1.2)"	"bAquChr1.2"	"Hoxb1_Hoxb9"	93530	""	"Aves"	93.53	"Aves"
"Golden eagle"	"acchrysaetos_gene_ensembl"	"Golden eagle genes (bAquChr1.2)"	"bAquChr1.2"	"Hoxb9_Hoxb13"	42277	""	"Aves"	42.277	"Aves"
"Golden Hamster"	"mauratus_gene_ensembl"	"Golden Hamster genes (MesAur1.0)"	"MesAur1.0"	"Hoxb1_Hoxb9"	89677	""	"Eutheria"	89.677	"Other Placentalia"
"Golden Hamster"	"mauratus_gene_ensembl"	"Golden Hamster genes (MesAur1.0)"	"MesAur1.0"	"Hoxb9_Hoxb13"	70652	""	"Eutheria"	70.652	"Other Placentalia"
"Golden snub-nosed monkey"	"rroxellana_gene_ensembl"	"Golden snub-nosed monkey genes (Rrox_v1)"	"Rrox_v1"	"Hoxb1_Hoxb9"	90635	""	"Primates"	90.635	"Other Primates"
"Golden snub-nosed monkey"	"rroxellana_gene_ensembl"	"Golden snub-nosed monkey genes (Rrox_v1)"	"Rrox_v1"	"Hoxb9_Hoxb13"	97273	""	"Primates"	97.273	"Other Primates"
"Goldfish"	"cauratus_gene_ensembl"	"Goldfish genes (ASM336829v1)"	"ASM336829v1"	"Hoxb1_Hoxb9"	85569	"ignored_12_and_3_and_37_genes__"	"Actinopterygii"	85.569	"Actinopterygii"
"Goldfish"	"cauratus_gene_ensembl"	"Goldfish genes (ASM336829v1)"	"ASM336829v1"	"Hoxb9_Hoxb13"	21248	"ignored_3_genes__"	"Actinopterygii"	21.248	"Actinopterygii"
"Goodes thornscrub tortoise"	"gevgoodei_gene_ensembl"	"Goodes thornscrub tortoise genes (rGopEvg1_v1.p)"	"rGopEvg1_v1.p"	"Hoxb1_Hoxb9"	92999	""	"Testudines"	92.999	"Reptilia"
"Goodes thornscrub tortoise"	"gevgoodei_gene_ensembl"	"Goodes thornscrub tortoise genes (rGopEvg1_v1.p)"	"rGopEvg1_v1.p"	"Hoxb9_Hoxb13"	65392	""	"Testudines"	65.392	"Reptilia"
