dataset	ensembl_transcript_id	chromosome_name	exon_chrom_start	exon_chrom_end	external_gene_name	strand	rank	mmusculus_homolog_associated_gene_name	description	version
acarolinensis_gene_ensembl	ENSACAT00000039439	6	75460158	75460498	HOXB1	-1	2	Hoxb1	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
acarolinensis_gene_ensembl	ENSACAT00000038190	6	75644932	75645469	HOXB9	-1	1	Hoxb9	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
acarolinensis_gene_ensembl	ENSACAT00000038190	6	75640473	75640708	HOXB9	-1	2	Hoxb9	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
acarolinensis_gene_ensembl	ENSACAT00000044061	6	75691461	75691986	HOXB9	-1	1	Hoxb9	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
acarolinensis_gene_ensembl	ENSACAT00000044061	6	75642878	75642976	HOXB9	-1	2	Hoxb9	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
acarolinensis_gene_ensembl	ENSACAT00000044061	6	75640473	75640708	HOXB9	-1	3	Hoxb9	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
acarolinensis_gene_ensembl	ENSACAT00000057852	6	75644932	75645469	HOXB9	-1	1	Hoxb9	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
acarolinensis_gene_ensembl	ENSACAT00000057852	6	75642878	75642976	HOXB9	-1	2	Hoxb9	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
acarolinensis_gene_ensembl	ENSACAT00000057852	6	75640473	75640708	HOXB9	-1	3	Hoxb9	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2
acchrysaetos_gene_ensembl	ENSACCT00020008828	8	2674389	2675001	HOXB1	-1	1	Hoxb1	Golden eagle genes (bAquChr1.2)	bAquChr1.2
acchrysaetos_gene_ensembl	ENSACCT00020008828	8	2673296	2673621	HOXB1	-1	2	Hoxb1	Golden eagle genes (bAquChr1.2)	bAquChr1.2
acchrysaetos_gene_ensembl	ENSACCT00020009018	8	2816071	2816706	HOXB13	-1	1	Hoxb13	Golden eagle genes (bAquChr1.2)	bAquChr1.2
acchrysaetos_gene_ensembl	ENSACCT00020009018	8	2815013	2815255	HOXB13	-1	2	Hoxb13	Golden eagle genes (bAquChr1.2)	bAquChr1.2
acchrysaetos_gene_ensembl	ENSACCT00020008975	8	2772432	2772736	HOXB9	-1	1	Hoxb9	Golden eagle genes (bAquChr1.2)	bAquChr1.2
acchrysaetos_gene_ensembl	ENSACCT00020008975	8	2772420	2772429	HOXB9	-1	2	Hoxb9	Golden eagle genes (bAquChr1.2)	bAquChr1.2
acchrysaetos_gene_ensembl	ENSACCT00020008975	8	2772229	2772415	HOXB9	-1	3	Hoxb9	Golden eagle genes (bAquChr1.2)	bAquChr1.2
acchrysaetos_gene_ensembl	ENSACCT00020008975	8	2768531	2768766	HOXB9	-1	4	Hoxb9	Golden eagle genes (bAquChr1.2)	bAquChr1.2
acitrinellus_gene_ensembl	ENSACIT00000016965	CCOE01001224.1	149045	149770	hoxb13a	1	1	Hoxb13	Midas cichlid genes (Midas_v5)	Midas_v5
acitrinellus_gene_ensembl	ENSACIT00000016965	CCOE01001224.1	150843	151091	hoxb13a	1	2	Hoxb13	Midas cichlid genes (Midas_v5)	Midas_v5
acitrinellus_gene_ensembl	ENSACIT00000017231	CCOE01001224.1	379767	379855	hoxb1a	1	1	Hoxb1	Midas cichlid genes (Midas_v5)	Midas_v5
acitrinellus_gene_ensembl	ENSACIT00000017231	CCOE01001224.1	379919	379950	hoxb1a	1	2	Hoxb1	Midas cichlid genes (Midas_v5)	Midas_v5
acitrinellus_gene_ensembl	ENSACIT00000017231	CCOE01001224.1	380026	380580	hoxb1a	1	3	Hoxb1	Midas cichlid genes (Midas_v5)	Midas_v5
acitrinellus_gene_ensembl	ENSACIT00000017231	CCOE01001224.1	381873	382225	hoxb1a	1	4	Hoxb1	Midas cichlid genes (Midas_v5)	Midas_v5
acitrinellus_gene_ensembl	ENSACIT00000016357	CCOE01000143.1	1369224	1369782	hoxb1b	1	1	Hoxb1	Midas cichlid genes (Midas_v5)	Midas_v5
acitrinellus_gene_ensembl	ENSACIT00000016357	CCOE01000143.1	1370010	1370311	hoxb1b	1	2	Hoxb1	Midas cichlid genes (Midas_v5)	Midas_v5
acitrinellus_gene_ensembl	ENSACIT00000016981	CCOE01001224.1	208352	208958	hoxb9a	1	1	Hoxb9	Midas cichlid genes (Midas_v5)	Midas_v5
acitrinellus_gene_ensembl	ENSACIT00000016981	CCOE01001224.1	219894	220129	hoxb9a	1	2	Hoxb9	Midas cichlid genes (Midas_v5)	Midas_v5
amelanoleuca_gene_ensembl	ENSAMET00000005430	13	22299551	22300133	HOXB1	1	1	Hoxb1	Giant panda genes (ASM200744v2)	ASM200744v2
amelanoleuca_gene_ensembl	ENSAMET00000005430	13	22300598	22300926	HOXB1	1	2	Hoxb1	Giant panda genes (ASM200744v2)	ASM200744v2
amelanoleuca_gene_ensembl	ENSAMET00000047274	13	22134318	22135252	HOXB13	1	1	Hoxb13	Giant panda genes (ASM200744v2)	ASM200744v2
amelanoleuca_gene_ensembl	ENSAMET00000047274	13	22136212	22136441	HOXB13	1	2	Hoxb13	Giant panda genes (ASM200744v2)	ASM200744v2
amelanoleuca_gene_ensembl	ENSAMET00000047274	13	22137726	22138803	HOXB13	1	3	Hoxb13	Giant panda genes (ASM200744v2)	ASM200744v2
amelanoleuca_gene_ensembl	ENSAMET00000027183	13	22207034	22208514	HOXB9	1	1	Hoxb9	Giant panda genes (ASM200744v2)	ASM200744v2
amelanoleuca_gene_ensembl	ENSAMET00000027183	13	22211188	22213208	HOXB9	1	2	Hoxb9	Giant panda genes (ASM200744v2)	ASM200744v2
amexicanus_gene_ensembl	ENSAMXT00000016419	APWO02000145.1	1577786	1578452	hoxb13a	-1	1	Hoxb13	Mexican tetra genes (Astyanax_mexicanus-2.0)	Astyanax_mexicanus-2.0
amexicanus_gene_ensembl	ENSAMXT00000016419	APWO02000145.1	1575671	1577534	hoxb13a	-1	2	Hoxb13	Mexican tetra genes (Astyanax_mexicanus-2.0)	Astyanax_mexicanus-2.0
amexicanus_gene_ensembl	ENSAMXT00000043211	APWO02000145.1	1473427	1474054	hoxb1a	-1	1	Hoxb1	Mexican tetra genes (Astyanax_mexicanus-2.0)	Astyanax_mexicanus-2.0
amexicanus_gene_ensembl	ENSAMXT00000043211	APWO02000145.1	1472413	1472729	hoxb1a	-1	2	Hoxb1	Mexican tetra genes (Astyanax_mexicanus-2.0)	Astyanax_mexicanus-2.0
amexicanus_gene_ensembl	ENSAMXT00000051245	4	2218006	2218594	hoxb1b	1	1	Hoxb1	Mexican tetra genes (Astyanax_mexicanus-2.0)	Astyanax_mexicanus-2.0
amexicanus_gene_ensembl	ENSAMXT00000051245	4	2218735	2220168	hoxb1b	1	2	Hoxb1	Mexican tetra genes (Astyanax_mexicanus-2.0)	Astyanax_mexicanus-2.0
amexicanus_gene_ensembl	ENSAMXT00000041992	APWO02000145.1	1558755	1559268	hoxb9a	-1	1	Hoxb9	Mexican tetra genes (Astyanax_mexicanus-2.0)	Astyanax_mexicanus-2.0
amexicanus_gene_ensembl	ENSAMXT00000041992	APWO02000145.1	1552350	1556639	hoxb9a	-1	2	Hoxb9	Mexican tetra genes (Astyanax_mexicanus-2.0)	Astyanax_mexicanus-2.0
anancymaae_gene_ensembl	ENSANAT00000046989	KZ199231.1	3792588	3793164	HOXB1	-1	1	Hoxb1	Ma's night monkey genes (Anan_2.0)	Anan_2.0
anancymaae_gene_ensembl	ENSANAT00000046989	KZ199231.1	3791824	3792152	HOXB1	-1	2	Hoxb1	Ma's night monkey genes (Anan_2.0)	Anan_2.0
anancymaae_gene_ensembl	ENSANAT00000029942	KZ199231.1	3983355	3984458	HOXB13	-1	1	Hoxb13	Ma's night monkey genes (Anan_2.0)	Anan_2.0
anancymaae_gene_ensembl	ENSANAT00000029942	KZ199231.1	3978056	3982382	HOXB13	-1	2	Hoxb13	Ma's night monkey genes (Anan_2.0)	Anan_2.0
anancymaae_gene_ensembl	ENSANAT00000053257	KZ199231.1	3886734	3887250	HOXB9	-1	1	Hoxb9	Ma's night monkey genes (Anan_2.0)	Anan_2.0
anancymaae_gene_ensembl	ENSANAT00000053257	KZ199231.1	3883889	3884124	HOXB9	-1	2	Hoxb9	Ma's night monkey genes (Anan_2.0)	Anan_2.0
aocellaris_gene_ensembl	ENSAOCT00000015842	NXFZ01002159.1	5918	7164	hoxb13a	1	1	Hoxb13	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000015842	NXFZ01002159.1	8303	8982	hoxb13a	1	2	Hoxb13	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000000170	NXFZ01002159.1	247619	247826	hoxb1a	1	1	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000000170	NXFZ01002159.1	247902	247956	hoxb1a	1	2	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000000170	NXFZ01002159.1	248002	248450	hoxb1a	1	3	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000000170	NXFZ01002159.1	250106	250443	hoxb1a	1	4	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000000190	NXFZ01002159.1	247619	247710	hoxb1a	1	1	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000000190	NXFZ01002159.1	247873	247900	hoxb1a	1	2	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000000190	NXFZ01002159.1	247949	248450	hoxb1a	1	3	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000000190	NXFZ01002159.1	250106	250443	hoxb1a	1	4	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000009608	NXFZ01005965.1	341366	341912	hoxb1b	1	1	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000009608	NXFZ01005965.1	342165	342475	hoxb1b	1	2	Hoxb1	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000015808	NXFZ01002159.1	73731	74343	hoxb9a	1	1	Hoxb9	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
aocellaris_gene_ensembl	ENSAOCT00000015808	NXFZ01002159.1	82824	83059	hoxb9a	1	2	Hoxb9	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0
apercula_gene_ensembl	ENSAPET00000000766	14	36556360	36557086	hoxb13a	-1	1	Hoxb13	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000766	14	36554975	36555222	hoxb13a	-1	2	Hoxb13	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000466	14	36316040	36316250	hoxb1a	-1	1	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000466	14	36315910	36315964	hoxb1a	-1	2	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000466	14	36315416	36315864	hoxb1a	-1	3	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000466	14	36313427	36313764	hoxb1a	-1	4	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000488	14	36316159	36316250	hoxb1a	-1	1	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000488	14	36315966	36315993	hoxb1a	-1	2	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000488	14	36315416	36315917	hoxb1a	-1	3	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000488	14	36313427	36313764	hoxb1a	-1	4	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000006646	19	2001506	2002052	hoxb1b	1	1	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000006646	19	2002301	2002611	hoxb1b	1	2	Hoxb1	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000740	14	36491666	36492278	hoxb9a	-1	1	Hoxb9	Orange clownfish genes (Nemo_v1)	Nemo_v1
apercula_gene_ensembl	ENSAPET00000000740	14	36482893	36483128	hoxb9a	-1	2	Hoxb9	Orange clownfish genes (Nemo_v1)	Nemo_v1
aplatyrhynchos_gene_ensembl	NA	NA	NA	NA	NA	NA	NA	NA	Mallard genes (ASM874695v1)	ASM874695v1
apolyacanthus_gene_ensembl	ENSAPOT00000017210	MVNR01000242.1	321283	322006	hoxb13a	-1	1	Hoxb13	Spiny chromis genes (ASM210954v1)	ASM210954v1
apolyacanthus_gene_ensembl	ENSAPOT00000017210	MVNR01000242.1	319903	320150	hoxb13a	-1	2	Hoxb13	Spiny chromis genes (ASM210954v1)	ASM210954v1
apolyacanthus_gene_ensembl	ENSAPOT00000017127	MVNR01000242.1	105318	105485	hoxb1a	-1	1	Hoxb1	Spiny chromis genes (ASM210954v1)	ASM210954v1
apolyacanthus_gene_ensembl	ENSAPOT00000017127	MVNR01000242.1	104672	105230	hoxb1a	-1	2	Hoxb1	Spiny chromis genes (ASM210954v1)	ASM210954v1
apolyacanthus_gene_ensembl	ENSAPOT00000017127	MVNR01000242.1	102765	103102	hoxb1a	-1	3	Hoxb1	Spiny chromis genes (ASM210954v1)	ASM210954v1
apolyacanthus_gene_ensembl	ENSAPOT00000021475	MVNR01000196.1	242227	242773	hoxb1b	1	1	Hoxb1	Spiny chromis genes (ASM210954v1)	ASM210954v1
apolyacanthus_gene_ensembl	ENSAPOT00000021475	MVNR01000196.1	243039	243349	hoxb1b	1	2	Hoxb1	Spiny chromis genes (ASM210954v1)	ASM210954v1
apolyacanthus_gene_ensembl	ENSAPOT00000017205	MVNR01000242.1	267986	269170	hoxb9a	-1	1	Hoxb9	Spiny chromis genes (ASM210954v1)	ASM210954v1
apolyacanthus_gene_ensembl	ENSAPOT00000017205	MVNR01000242.1	256462	259689	hoxb9a	-1	2	Hoxb9	Spiny chromis genes (ASM210954v1)	ASM210954v1
applatyrhynchos_gene_ensembl	ENSAPLT00000043682	28	4870501	4871200	HOXB1	1	1	Hoxb1	Duck genes (CAU_duck1.0)	CAU_duck1.0
applatyrhynchos_gene_ensembl	ENSAPLT00000043682	28	4871929	4872172	HOXB1	1	2	Hoxb1	Duck genes (CAU_duck1.0)	CAU_duck1.0
applatyrhynchos_gene_ensembl	ENSAPLT00000043682	28	4872458	4872848	HOXB1	1	3	Hoxb1	Duck genes (CAU_duck1.0)	CAU_duck1.0
applatyrhynchos_gene_ensembl	ENSAPLT00000032916	28	4721379	4721540	HOXB13	1	1	Hoxb13	Duck genes (CAU_duck1.0)	CAU_duck1.0
applatyrhynchos_gene_ensembl	ENSAPLT00000032916	28	4724017	4724454	HOXB13	1	2	Hoxb13	Duck genes (CAU_duck1.0)	CAU_duck1.0
applatyrhynchos_gene_ensembl	ENSAPLT00000032916	28	4725265	4725504	HOXB13	1	3	Hoxb13	Duck genes (CAU_duck1.0)	CAU_duck1.0
applatyrhynchos_gene_ensembl	ENSAPLT00000014169	28	4767631	4768138	HOXB9	1	1	Hoxb9	Duck genes (CAU_duck1.0)	CAU_duck1.0
applatyrhynchos_gene_ensembl	ENSAPLT00000014169	28	4771641	4772876	HOXB9	1	2	Hoxb9	Duck genes (CAU_duck1.0)	CAU_duck1.0
atestudineus_gene_ensembl	ENSATET00000014083	8	2236267	2237301	hoxb13a	-1	1	Hoxb13	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000014083	8	2234613	2235301	hoxb13a	-1	2	Hoxb13	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000013773	8	2045016	2045104	hoxb1a	-1	1	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000013773	8	2044900	2044934	hoxb1a	-1	2	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000013773	8	2044773	2044836	hoxb1a	-1	3	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000013773	8	2044273	2044715	hoxb1a	-1	4	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000013773	8	2042493	2042845	hoxb1a	-1	5	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000049583	8	2045016	2045095	hoxb1a	-1	1	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000049583	8	2044856	2044934	hoxb1a	-1	2	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000049583	8	2044273	2044780	hoxb1a	-1	3	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000049583	8	2042493	2042845	hoxb1a	-1	4	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000067749	8	2045016	2045104	hoxb1a	-1	1	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000067749	8	2044906	2044934	hoxb1a	-1	2	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000067749	8	2044800	2044854	hoxb1a	-1	3	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000067749	8	2044273	2044715	hoxb1a	-1	4	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000067749	8	2042493	2042845	hoxb1a	-1	5	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000012397	19	15846301	15846865	hoxb1b	-1	1	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000012397	19	15845692	15846002	hoxb1b	-1	2	Hoxb1	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000014049	8	2193002	2193614	hoxb9a	-1	1	Hoxb9	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
atestudineus_gene_ensembl	ENSATET00000014049	8	2183437	2183672	hoxb9a	-1	2	Hoxb9	Climbing perch genes (fAnaTes1.2)	fAnaTes1.2
bbbison_gene_ensembl	ENSBBBT00000031948	KN264895.1	5317931	5318326	HOXB1	-1	1	Hoxb1	American bison genes (Bison_UMD1.0)	Bison_UMD1.0
bbbison_gene_ensembl	ENSBBBT00000031948	KN264895.1	5317658	5317811	HOXB1	-1	2	Hoxb1	American bison genes (Bison_UMD1.0)	Bison_UMD1.0
bbbison_gene_ensembl	ENSBBBT00000031948	KN264895.1	5316873	5317201	HOXB1	-1	3	Hoxb1	American bison genes (Bison_UMD1.0)	Bison_UMD1.0
bbbison_gene_ensembl	ENSBBBT00000024134	KN264895.1	5485342	5485945	HOXB13	-1	1	Hoxb13	American bison genes (Bison_UMD1.0)	Bison_UMD1.0
bbbison_gene_ensembl	ENSBBBT00000024134	KN264895.1	5484209	5484462	HOXB13	-1	2	Hoxb13	American bison genes (Bison_UMD1.0)	Bison_UMD1.0
bbbison_gene_ensembl	ENSBBBT00000024144	KN264895.1	5409783	5410299	HOXB9	-1	1	Hoxb9	American bison genes (Bison_UMD1.0)	Bison_UMD1.0
bbbison_gene_ensembl	ENSBBBT00000024144	KN264895.1	5406853	5407088	HOXB9	-1	2	Hoxb9	American bison genes (Bison_UMD1.0)	Bison_UMD1.0
bgrunniens_gene_ensembl	ENSBGRT00000039514	19	28723354	28723700	HOXB1	-1	1	Hoxb1	Domestic yak genes (LU_Bosgru_v3.0)	LU_Bosgru_v3.0
bgrunniens_gene_ensembl	ENSBGRT00000039514	19	28723127	28723308	HOXB1	-1	2	Hoxb1	Domestic yak genes (LU_Bosgru_v3.0)	LU_Bosgru_v3.0
bgrunniens_gene_ensembl	ENSBGRT00000039514	19	28722028	28722680	HOXB1	-1	3	Hoxb1	Domestic yak genes (LU_Bosgru_v3.0)	LU_Bosgru_v3.0
bgrunniens_gene_ensembl	ENSBGRT00000040102	19	28917709	28918508	HOXB13	-1	1	Hoxb13	Domestic yak genes (LU_Bosgru_v3.0)	LU_Bosgru_v3.0
bgrunniens_gene_ensembl	ENSBGRT00000040102	19	28916161	28916831	HOXB13	-1	2	Hoxb13	Domestic yak genes (LU_Bosgru_v3.0)	LU_Bosgru_v3.0
bgrunniens_gene_ensembl	ENSBGRT00000040047	19	28835447	28835963	HOXB9	-1	1	Hoxb9	Domestic yak genes (LU_Bosgru_v3.0)	LU_Bosgru_v3.0
bgrunniens_gene_ensembl	ENSBGRT00000040047	19	28831053	28831685	HOXB9	-1	2	Hoxb9	Domestic yak genes (LU_Bosgru_v3.0)	LU_Bosgru_v3.0
bihybrid_gene_ensembl	ENSBIXT00005015082	19	39032433	39033012	HOXB1	1	1	Hoxb1	Hybrid - Bos Indicus genes (UOA_Brahman_1)	UOA_Brahman_1
bihybrid_gene_ensembl	ENSBIXT00005015082	19	39033464	39033792	HOXB1	1	2	Hoxb1	Hybrid - Bos Indicus genes (UOA_Brahman_1)	UOA_Brahman_1
bihybrid_gene_ensembl	ENSBIXT00005014837	19	38866810	38867413	HOXB13	1	1	Hoxb13	Hybrid - Bos Indicus genes (UOA_Brahman_1)	UOA_Brahman_1
bihybrid_gene_ensembl	ENSBIXT00005014837	19	38868291	38868544	HOXB13	1	2	Hoxb13	Hybrid - Bos Indicus genes (UOA_Brahman_1)	UOA_Brahman_1
bihybrid_gene_ensembl	ENSBIXT00005014915	19	38941473	38942060	HOXB9	1	1	Hoxb9	Hybrid - Bos Indicus genes (UOA_Brahman_1)	UOA_Brahman_1
bihybrid_gene_ensembl	ENSBIXT00005014915	19	38944702	38946630	HOXB9	1	2	Hoxb9	Hybrid - Bos Indicus genes (UOA_Brahman_1)	UOA_Brahman_1
bmusculus_gene_ensembl	ENSBMST00010027058	20	25981566	25982133	HOXB1	1	1	Hoxb1	Blue whale genes (mBalMus1.v2)	mBalMus1.v2
bmusculus_gene_ensembl	ENSBMST00010027058	20	25982570	25982898	HOXB1	1	2	Hoxb1	Blue whale genes (mBalMus1.v2)	mBalMus1.v2
bmusculus_gene_ensembl	ENSBMST00010026587	20	25812362	25812965	HOXB13	1	1	Hoxb13	Blue whale genes (mBalMus1.v2)	mBalMus1.v2
bmusculus_gene_ensembl	ENSBMST00010026587	20	25813919	25814172	HOXB13	1	2	Hoxb13	Blue whale genes (mBalMus1.v2)	mBalMus1.v2
bmusculus_gene_ensembl	ENSBMST00010026742	20	25888310	25888826	HOXB9	1	1	Hoxb9	Blue whale genes (mBalMus1.v2)	mBalMus1.v2
bmusculus_gene_ensembl	ENSBMST00010026742	20	25891476	25891711	HOXB9	1	2	Hoxb9	Blue whale genes (mBalMus1.v2)	mBalMus1.v2
bmutus_gene_ensembl	ENSBMUT00000001255	JH880613.1	2604799	2605378	HOXB1	1	1	Hoxb1	Wild yak genes (BosGru_v2.0)	BosGru_v2.0
