"dataset"	"description"	"version"	"genes_considered"	"intergenic_distance"	"comment"
"bbbison_gene_ensembl"	"American bison genes (Bison_UMD1.0)"	"Bison_UMD1.0"	"Hoxb1_Hoxb9"	"88527"	""
"bbbison_gene_ensembl"	"American bison genes (Bison_UMD1.0)"	"Bison_UMD1.0"	"Hoxb9_Hoxb13"	"73910"	""
"bgrunniens_gene_ensembl"	"Domestic yak genes (LU_Bosgru_v3.0)"	"LU_Bosgru_v3.0"	"Hoxb1_Hoxb9"	"107353"	""
"bgrunniens_gene_ensembl"	"Domestic yak genes (LU_Bosgru_v3.0)"	"LU_Bosgru_v3.0"	"Hoxb9_Hoxb13"	"80198"	""
"bihybrid_gene_ensembl"	"Hybrid - Bos Indicus genes (UOA_Brahman_1)"	"UOA_Brahman_1"	"Hoxb1_Hoxb9"	"85803"	""
"bihybrid_gene_ensembl"	"Hybrid - Bos Indicus genes (UOA_Brahman_1)"	"UOA_Brahman_1"	"Hoxb9_Hoxb13"	"72929"	""
"bmusculus_gene_ensembl"	"Blue whale genes (mBalMus1.v2)"	"mBalMus1.v2"	"Hoxb1_Hoxb9"	"89855"	""
"bmusculus_gene_ensembl"	"Blue whale genes (mBalMus1.v2)"	"mBalMus1.v2"	"Hoxb9_Hoxb13"	"74138"	""
"bmutus_gene_ensembl"	"Wild yak genes (BosGru_v2.0)"	"BosGru_v2.0"	"Hoxb1_Hoxb9"	"89800"	""
"bmutus_gene_ensembl"	"Wild yak genes (BosGru_v2.0)"	"BosGru_v2.0"	"Hoxb9_Hoxb13"	"73428"	""
"bsplendens_gene_ensembl"	"Siamese fighting fish genes (fBetSpl5.2)"	"fBetSpl5.2"	"Hoxb1_Hoxb9"	"107098"	""
"bsplendens_gene_ensembl"	"Siamese fighting fish genes (fBetSpl5.2)"	"fBetSpl5.2"	"Hoxb9_Hoxb13"	"22677"	""
"btaurus_gene_ensembl"	"Cow genes (ARS-UCD1.3)"	"ARS-UCD1.3"	"Hoxb1_Hoxb9"	"86776"	""
"btaurus_gene_ensembl"	"Cow genes (ARS-UCD1.3)"	"ARS-UCD1.3"	"Hoxb9_Hoxb13"	"72760"	""
"cabingdonii_gene_ensembl"	"Abingdon island giant tortoise genes (ASM359739v1)"	"ASM359739v1"	"Hoxb1_Hoxb9"	"92587"	""
"cabingdonii_gene_ensembl"	"Abingdon island giant tortoise genes (ASM359739v1)"	"ASM359739v1"	"Hoxb9_Hoxb13"	"61943"	""
"catys_gene_ensembl"	"Sooty mangabey genes (Caty_1.0)"	"Caty_1.0"	"Hoxb1_Hoxb9"	"88535"	""
"catys_gene_ensembl"	"Sooty mangabey genes (Caty_1.0)"	"Caty_1.0"	"Hoxb9_Hoxb13"	"98147"	""
"cauratus_gene_ensembl"	"Goldfish genes (ASM336829v1)"	"ASM336829v1"	"Hoxb1_Hoxb9"	"85569"	"ignored_12_and_3_and_37_genes__"
"cauratus_gene_ensembl"	"Goldfish genes (ASM336829v1)"	"ASM336829v1"	"Hoxb9_Hoxb13"	"21248"	"ignored_3_genes__"
"cccarpio_gene_ensembl"	"Common carp genes (Cypcar_WagV4.0)"	"Cypcar_WagV4.0"	"Hoxb1_Hoxb9"	"86120"	"ignored_CAJNDQ010000004.1_and_CAJNDQ010000026.1_and_CAJNDQ010000045.1_genes__"
"cccarpio_gene_ensembl"	"Common carp genes (Cypcar_WagV4.0)"	"Cypcar_WagV4.0"	"Hoxb9_Hoxb13"	"20981"	"ignored_CAJNDQ010000004.1_genes__"
"cdromedarius_gene_ensembl"	"Arabian camel genes (CamDro2)"	"CamDro2"	"Hoxb1_Hoxb9"	"88075"	""
"cdromedarius_gene_ensembl"	"Arabian camel genes (CamDro2)"	"CamDro2"	"Hoxb9_Hoxb13"	"60491"	""
"celegans_gene_ensembl"	"Caenorhabditis elegans (Nematode, N2) genes (WBcel235)"	"WBcel235"	"Hoxb1_Hoxb9"	NA	"no_homologous_gene_found"
"celegans_gene_ensembl"	"Caenorhabditis elegans (Nematode, N2) genes (WBcel235)"	"WBcel235"	"Hoxb9_Hoxb13"	NA	"no_homologous_gene_found"
"cgchok1gshd_gene_ensembl"	"Chinese hamster CHOK1GS genes (CHOK1GS_HDv1)"	"CHOK1GS_HDv1"	"Hoxb1_Hoxb9"	"91474"	""
"cgchok1gshd_gene_ensembl"	"Chinese hamster CHOK1GS genes (CHOK1GS_HDv1)"	"CHOK1GS_HDv1"	"Hoxb9_Hoxb13"	"70588"	""
"cgobio_gene_ensembl"	"Channel bull blenny genes (fCotGob3.1)"	"fCotGob3.1"	"Hoxb1_Hoxb9"	"155339"	"ignored_19_genes__"
"cgobio_gene_ensembl"	"Channel bull blenny genes (fCotGob3.1)"	"fCotGob3.1"	"Hoxb9_Hoxb13"	"48912"	""
"charengus_gene_ensembl"	"Atlantic herring genes (Ch_v2.0.2)"	"Ch_v2.0.2"	"Hoxb1_Hoxb9"	"93207"	"ignored_23_genes__"
"charengus_gene_ensembl"	"Atlantic herring genes (Ch_v2.0.2)"	"Ch_v2.0.2"	"Hoxb9_Hoxb13"	"31365"	""
"chircus_gene_ensembl"	"Goat genes (ARS1)"	"ARS1"	"Hoxb1_Hoxb9"	"87580"	""
"chircus_gene_ensembl"	"Goat genes (ARS1)"	"ARS1"	"Hoxb9_Hoxb13"	"72621"	""
"choffmanni_gene_ensembl"	"Sloth genes (choHof1)"	"choHof1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"choffmanni_gene_ensembl"	"Sloth genes (choHof1)"	"choHof1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"chyarkandensis_gene_ensembl"	"Yarkand deer genes (CEY_v1)"	"CEY_v1"	"Hoxb1_Hoxb9"	"87445"	""
"chyarkandensis_gene_ensembl"	"Yarkand deer genes (CEY_v1)"	"CEY_v1"	"Hoxb9_Hoxb13"	"69755"	""
"cimitator_gene_ensembl"	"Panamanian white-faced capuchin genes (Cebus_imitator-1.0)"	"Cebus_imitator-1.0"	"Hoxb1_Hoxb9"	"89672"	""
"cimitator_gene_ensembl"	"Panamanian white-faced capuchin genes (Cebus_imitator-1.0)"	"Cebus_imitator-1.0"	"Hoxb9_Hoxb13"	"90870"	""
"cintestinalis_gene_ensembl"	"C.intestinalis genes (KH)"	"KH"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"cintestinalis_gene_ensembl"	"C.intestinalis genes (KH)"	"KH"	"Hoxb9_Hoxb13"	NA	"no_homologous_gene_found"
"cjacchus_gene_ensembl"	"White-tufted-ear marmoset genes (mCalJac1.pat.X)"	"mCalJac1.pat.X"	"Hoxb1_Hoxb9"	"91739"	""
"cjacchus_gene_ensembl"	"White-tufted-ear marmoset genes (mCalJac1.pat.X)"	"mCalJac1.pat.X"	"Hoxb9_Hoxb13"	"90588"	""
"cjaponica_gene_ensembl"	"Japanese quail genes (Coturnix_japonica_2.0)"	"Coturnix_japonica_2.0"	"Hoxb1_Hoxb9"	"93825"	""
"cjaponica_gene_ensembl"	"Japanese quail genes (Coturnix_japonica_2.0)"	"Coturnix_japonica_2.0"	"Hoxb9_Hoxb13"	"34428"	""
"clanigera_gene_ensembl"	"Long-tailed chinchilla genes (ChiLan1.0)"	"ChiLan1.0"	"Hoxb1_Hoxb9"	"87644"	""
"clanigera_gene_ensembl"	"Long-tailed chinchilla genes (ChiLan1.0)"	"ChiLan1.0"	"Hoxb9_Hoxb13"	"78456"	""
"cldingo_gene_ensembl"	"Dingo genes (ASM325472v1)"	"ASM325472v1"	"Hoxb1_Hoxb9"	"89333"	""
"cldingo_gene_ensembl"	"Dingo genes (ASM325472v1)"	"ASM325472v1"	"Hoxb9_Hoxb13"	"69222"	""
"clfamiliaris_gene_ensembl"	"Dog genes (ROS_Cfam_1.0)"	"ROS_Cfam_1.0"	"Hoxb1_Hoxb9"	"91385"	""
"clfamiliaris_gene_ensembl"	"Dog genes (ROS_Cfam_1.0)"	"ROS_Cfam_1.0"	"Hoxb9_Hoxb13"	"69364"	""
"clumpus_gene_ensembl"	"Lumpfish genes (fCycLum1.pri)"	"fCycLum1.pri"	"Hoxb1_Hoxb9"	"94103.5"	"ignored_19_genes__multiple_extremities_this_is_average"
"clumpus_gene_ensembl"	"Lumpfish genes (fCycLum1.pri)"	"fCycLum1.pri"	"Hoxb9_Hoxb13"	"127623"	""
"cmilii_gene_ensembl"	"Elephant shark genes (Callorhinchus_milii-6.1.3)"	"Callorhinchus_milii-6.1.3"	"Hoxb1_Hoxb9"	"74161"	""
"cmilii_gene_ensembl"	"Elephant shark genes (Callorhinchus_milii-6.1.3)"	"Callorhinchus_milii-6.1.3"	"Hoxb9_Hoxb13"	"60165"	""
"cpbellii_gene_ensembl"	"Painted turtle genes (Chrysemys_picta_bellii-3.0.3)"	"Chrysemys_picta_bellii-3.0.3"	"Hoxb1_Hoxb9"	"95666"	""
"cpbellii_gene_ensembl"	"Painted turtle genes (Chrysemys_picta_bellii-3.0.3)"	"Chrysemys_picta_bellii-3.0.3"	"Hoxb9_Hoxb13"	"66075"	""
"cporcellus_gene_ensembl"	"Guinea Pig genes (Cavpor3.0)"	"Cavpor3.0"	"Hoxb1_Hoxb9"	"85675"	""
"cporcellus_gene_ensembl"	"Guinea Pig genes (Cavpor3.0)"	"Cavpor3.0"	"Hoxb9_Hoxb13"	"66075"	""
"cporosus_gene_ensembl"	"Australian saltwater crocodile genes (CroPor_comp1)"	"CroPor_comp1"	"Hoxb1_Hoxb9"	"95577"	""
"cporosus_gene_ensembl"	"Australian saltwater crocodile genes (CroPor_comp1)"	"CroPor_comp1"	"Hoxb9_Hoxb13"	"78430"	""
"csabaeus_gene_ensembl"	"Vervet-AGM genes (ChlSab1.1)"	"ChlSab1.1"	"Hoxb1_Hoxb9"	"92590"	""
"csabaeus_gene_ensembl"	"Vervet-AGM genes (ChlSab1.1)"	"ChlSab1.1"	"Hoxb9_Hoxb13"	"98516"	""
"csavignyi_gene_ensembl"	"C.savignyi genes (CSAV 2.0)"	"CSAV 2.0"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"csavignyi_gene_ensembl"	"C.savignyi genes (CSAV 2.0)"	"CSAV 2.0"	"Hoxb9_Hoxb13"	NA	"no_homologous_gene_found"
"csemilaevis_gene_ensembl"	"Tongue sole genes (Cse_v1.0)"	"Cse_v1.0"	"Hoxb1_Hoxb9"	"204880.5"	"ignored_8_genes__multiple_extremities_this_is_average"
"csemilaevis_gene_ensembl"	"Tongue sole genes (Cse_v1.0)"	"Cse_v1.0"	"Hoxb9_Hoxb13"	NA	"genes_on_different_strand"
"csyrichta_gene_ensembl"	"Tarsier genes (Tarsius_syrichta-2.0.1)"	"Tarsius_syrichta-2.0.1"	"Hoxb1_Hoxb9"	NA	"two_genes_on_two_different_chr"
"csyrichta_gene_ensembl"	"Tarsier genes (Tarsius_syrichta-2.0.1)"	"Tarsius_syrichta-2.0.1"	"Hoxb9_Hoxb13"	"89543"	""
"cvariegatus_gene_ensembl"	"Sheepshead minnow genes (C_variegatus-1.0)"	"C_variegatus-1.0"	"Hoxb1_Hoxb9"	"169223"	"ignored_JPKM01106883.1_and_KL652947.1_genes__multiple_extremities_this_is_average"
"cvariegatus_gene_ensembl"	"Sheepshead minnow genes (C_variegatus-1.0)"	"C_variegatus-1.0"	"Hoxb9_Hoxb13"	"52335"	"ignored_JPKM01106883.1_genes__"
"cwagneri_gene_ensembl"	"Chacoan peccary genes (CatWag_v2_BIUU_UCD)"	"CatWag_v2_BIUU_UCD"	"Hoxb1_Hoxb9"	"89982"	""
"cwagneri_gene_ensembl"	"Chacoan peccary genes (CatWag_v2_BIUU_UCD)"	"CatWag_v2_BIUU_UCD"	"Hoxb9_Hoxb13"	"54053"	""
"dclupeoides_gene_ensembl"	"Denticle herring genes (fDenClu1.1)"	"fDenClu1.1"	"Hoxb1_Hoxb9"	"75332"	"ignored_9_genes__"
"dclupeoides_gene_ensembl"	"Denticle herring genes (fDenClu1.1)"	"fDenClu1.1"	"Hoxb9_Hoxb13"	"70425.6000000002"	"multiple_extremities_this_is_average"
"dlabrax_gene_ensembl"	"European seabass genes (dlabrax2021)"	"dlabrax2021"	"Hoxb1_Hoxb9"	NA	"two_genes_on_two_different_chr"
"dlabrax_gene_ensembl"	"European seabass genes (dlabrax2021)"	"dlabrax2021"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"dleucas_gene_ensembl"	"Beluga whale genes (ASM228892v3)"	"ASM228892v3"	"Hoxb1_Hoxb9"	"93919"	""
"dleucas_gene_ensembl"	"Beluga whale genes (ASM228892v3)"	"ASM228892v3"	"Hoxb9_Hoxb13"	"75080"	""
"dmelanogaster_gene_ensembl"	"Drosophila melanogaster (Fruit fly) genes (BDGP6.46)"	"BDGP6.46"	"Hoxb1_Hoxb9"	NA	"no_homologous_gene_found"
"dmelanogaster_gene_ensembl"	"Drosophila melanogaster (Fruit fly) genes (BDGP6.46)"	"BDGP6.46"	"Hoxb9_Hoxb13"	NA	"no_homologous_gene_found"
"dnovemcinctus_gene_ensembl"	"Armadillo genes (Dasnov3.0)"	"Dasnov3.0"	"Hoxb1_Hoxb9"	NA	"two_genes_on_two_different_chr"
"dnovemcinctus_gene_ensembl"	"Armadillo genes (Dasnov3.0)"	"Dasnov3.0"	"Hoxb9_Hoxb13"	"83540"	""
"dordii_gene_ensembl"	"Kangaroo rat genes (Dord_2.0)"	"Dord_2.0"	"Hoxb1_Hoxb9"	"92388"	""
"dordii_gene_ensembl"	"Kangaroo rat genes (Dord_2.0)"	"Dord_2.0"	"Hoxb9_Hoxb13"	"61094"	""
"drerio_gene_ensembl"	"Zebrafish genes (GRCz11)"	"GRCz11"	"Hoxb1_Hoxb9"	"86462"	"ignored_12_genes__"
"drerio_gene_ensembl"	"Zebrafish genes (GRCz11)"	"GRCz11"	"Hoxb9_Hoxb13"	"21517"	""
"easinus_gene_ensembl"	"Donkey genes (ASM1607732v2)"	"ASM1607732v2"	"Hoxb1_Hoxb9"	"87669"	""
"easinus_gene_ensembl"	"Donkey genes (ASM1607732v2)"	"ASM1607732v2"	"Hoxb9_Hoxb13"	"64596"	""
"eburgeri_gene_ensembl"	"Hagfish genes (Eburgeri_3.2)"	"Eburgeri_3.2"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"eburgeri_gene_ensembl"	"Hagfish genes (Eburgeri_3.2)"	"Eburgeri_3.2"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"ecaballus_gene_ensembl"	"Horse genes (EquCab3.0)"	"EquCab3.0"	"Hoxb1_Hoxb9"	"87451"	""
"ecaballus_gene_ensembl"	"Horse genes (EquCab3.0)"	"EquCab3.0"	"Hoxb9_Hoxb13"	"65041"	""
"ecalabaricus_gene_ensembl"	"Reedfish genes (fErpCal1.1)"	"fErpCal1.1"	"Hoxb1_Hoxb9"	"105871"	""
"ecalabaricus_gene_ensembl"	"Reedfish genes (fErpCal1.1)"	"fErpCal1.1"	"Hoxb9_Hoxb13"	"54131"	""
"eelectricus_gene_ensembl"	"Electric eel genes (Ee_SOAP_WITH_SSPACE)"	"Ee_SOAP_WITH_SSPACE"	"Hoxb1_Hoxb9"	"85440"	"ignored_RBHW02000095.1_genes__"
"eelectricus_gene_ensembl"	"Electric eel genes (Ee_SOAP_WITH_SSPACE)"	"Ee_SOAP_WITH_SSPACE"	"Hoxb9_Hoxb13"	"29598"	""
"eeuropaeus_gene_ensembl"	"Hedgehog genes (eriEur1)"	"eriEur1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"eeuropaeus_gene_ensembl"	"Hedgehog genes (eriEur1)"	"eriEur1"	"Hoxb9_Hoxb13"	NA	"two_genes_on_two_different_chr"
"elucius_gene_ensembl"	"Northern pike genes (Eluc_v4)"	"Eluc_v4"	"Hoxb1_Hoxb9"	"97121"	"ignored_LG16_genes__"
"elucius_gene_ensembl"	"Northern pike genes (Eluc_v4)"	"Eluc_v4"	"Hoxb9_Hoxb13"	"27420"	""
"etelfairi_gene_ensembl"	"Lesser hedgehog tenrec genes (TENREC)"	"TENREC"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"etelfairi_gene_ensembl"	"Lesser hedgehog tenrec genes (TENREC)"	"TENREC"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"falbicollis_gene_ensembl"	"Collared flycatcher genes (FicAlb1.5)"	"FicAlb1.5"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"falbicollis_gene_ensembl"	"Collared flycatcher genes (FicAlb1.5)"	"FicAlb1.5"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"fcatus_gene_ensembl"	"Cat genes (Felis_catus_9.0)"	"Felis_catus_9.0"	"Hoxb1_Hoxb9"	"87906"	""
"fcatus_gene_ensembl"	"Cat genes (Felis_catus_9.0)"	"Felis_catus_9.0"	"Hoxb9_Hoxb13"	"75634"	""
"fheteroclitus_gene_ensembl"	"Mummichog genes (Fundulus_heteroclitus-3.0.2)"	"Fundulus_heteroclitus-3.0.2"	"Hoxb1_Hoxb9"	"164759"	"ignored_KN811478.1_genes__"
"fheteroclitus_gene_ensembl"	"Mummichog genes (Fundulus_heteroclitus-3.0.2)"	"Fundulus_heteroclitus-3.0.2"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"gaculeatus_gene_ensembl"	"Stickleback genes (BROAD S1)"	"BROAD S1"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"gaculeatus_gene_ensembl"	"Stickleback genes (BROAD S1)"	"BROAD S1"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"gevgoodei_gene_ensembl"	"Goodes thornscrub tortoise genes (rGopEvg1_v1.p)"	"rGopEvg1_v1.p"	"Hoxb1_Hoxb9"	"92999"	""
"gevgoodei_gene_ensembl"	"Goodes thornscrub tortoise genes (rGopEvg1_v1.p)"	"rGopEvg1_v1.p"	"Hoxb9_Hoxb13"	"65392"	""
"gfortis_gene_ensembl"	"Medium ground-finch genes (GeoFor_1.0)"	"GeoFor_1.0"	"Hoxb1_Hoxb9"	NA	"only_one_gene_found"
"gfortis_gene_ensembl"	"Medium ground-finch genes (GeoFor_1.0)"	"GeoFor_1.0"	"Hoxb9_Hoxb13"	NA	"only_one_gene_found"
"ggallus_gene_ensembl"	"Chicken genes (bGalGal1.mat.broiler.GRCg7b)"	"bGalGal1.mat.broiler.GRCg7b"	"Hoxb1_Hoxb9"	"90929"	"multiple_extremities_this_is_average"
"ggallus_gene_ensembl"	"Chicken genes (bGalGal1.mat.broiler.GRCg7b)"	"bGalGal1.mat.broiler.GRCg7b"	"Hoxb9_Hoxb13"	"36986"	"multiple_extremities_this_is_average"
"ggorilla_gene_ensembl"	"Gorilla genes (gorGor4)"	"gorGor4"	"Hoxb1_Hoxb9"	"77099"	""
"ggorilla_gene_ensembl"	"Gorilla genes (gorGor4)"	"gorGor4"	"Hoxb9_Hoxb13"	"102781"	""
"gmorhua_gene_ensembl"	"Atlantic cod genes (gadMor3.0)"	"gadMor3.0"	"Hoxb1_Hoxb9"	"137884"	"ignored_18_genes__"
"gmorhua_gene_ensembl"	"Atlantic cod genes (gadMor3.0)"	"gadMor3.0"	"Hoxb9_Hoxb13"	"111904"	""
"hburtoni_gene_ensembl"	"Burton's mouthbrooder genes (AstBur1.0)"	"AstBur1.0"	"Hoxb1_Hoxb9"	"139414"	"ignored_JH425326.1_genes__"
"hburtoni_gene_ensembl"	"Burton's mouthbrooder genes (AstBur1.0)"	"AstBur1.0"	"Hoxb9_Hoxb13"	"68427"	""
"hcomes_gene_ensembl"	"Tiger tail seahorse genes (H_comes_QL1_v1)"	"H_comes_QL1_v1"	"Hoxb1_Hoxb9"	"134693"	"ignored_KV880261.1_genes__"
"hcomes_gene_ensembl"	"Tiger tail seahorse genes (H_comes_QL1_v1)"	"H_comes_QL1_v1"	"Hoxb9_Hoxb13"	"41486"	""
"hgfemale_gene_ensembl"	"Naked mole-rat female genes (Naked_mole-rat_maternal)"	"Naked_mole-rat_maternal"	"Hoxb1_Hoxb9"	"85061"	""
"hgfemale_gene_ensembl"	"Naked mole-rat female genes (Naked_mole-rat_maternal)"	"Naked_mole-rat_maternal"	"Hoxb9_Hoxb13"	"75403"	""
"hhucho_gene_ensembl"	"Huchen genes (ASM331708v1)"	"ASM331708v1"	"Hoxb1_Hoxb9"	"100802"	"ignored_QNTS01000008.1_and_QNTS01000016.1_and_QNTS01000161.1_and_QNTS01000899.1_genes__"
"hhucho_gene_ensembl"	"Huchen genes (ASM331708v1)"	"ASM331708v1"	"Hoxb9_Hoxb13"	"28599"	"ignored_QNTS01000899.1_genes__"
"hsapiens_gene_ensembl"	"Human genes (GRCh38.p14)"	"GRCh38.p14"	"Hoxb1_Hoxb9"	"90195.5"	"multiple_extremities_this_is_average"
"hsapiens_gene_ensembl"	"Human genes (GRCh38.p14)"	"GRCh38.p14"	"Hoxb9_Hoxb13"	"98405"	""
"ipunctatus_gene_ensembl"	"Channel catfish genes (IpCoco_1.2)"	"IpCoco_1.2"	"Hoxb1_Hoxb9"	"79234"	"ignored_13_genes__"
"ipunctatus_gene_ensembl"	"Channel catfish genes (IpCoco_1.2)"	"IpCoco_1.2"	"Hoxb9_Hoxb13"	"27366"	""
"itridecemlineatus_gene_ensembl"	"Squirrel genes (SpeTri2.0)"	"SpeTri2.0"	"Hoxb1_Hoxb9"	"87326"	""
"itridecemlineatus_gene_ensembl"	"Squirrel genes (SpeTri2.0)"	"SpeTri2.0"	"Hoxb9_Hoxb13"	"70614"	""
"jjaculus_gene_ensembl"	"Lesser Egyptian jerboa genes (JacJac1.0)"	"JacJac1.0"	"Hoxb1_Hoxb9"	"96016"	""
"jjaculus_gene_ensembl"	"Lesser Egyptian jerboa genes (JacJac1.0)"	"JacJac1.0"	"Hoxb9_Hoxb13"	"83040"	""
"kmarmoratus_gene_ensembl"	"Mangrove rivulus genes (ASM164957v1)"	"ASM164957v1"	"Hoxb1_Hoxb9"	"163584.5"	"ignored_LWHD01000313.1_genes__multiple_extremities_this_is_average"
"kmarmoratus_gene_ensembl"	"Mangrove rivulus genes (ASM164957v1)"	"ASM164957v1"	"Hoxb9_Hoxb13"	"78208"	""
"lafricana_gene_ensembl"	"Elephant genes (Loxafr3.0)"	"Loxafr3.0"	"Hoxb1_Hoxb9"	"90086"	""
"lafricana_gene_ensembl"	"Elephant genes (Loxafr3.0)"	"Loxafr3.0"	"Hoxb9_Hoxb13"	"61741"	""
"lbergylta_gene_ensembl"	"Ballan wrasse genes (BallGen_V1)"	"BallGen_V1"	"Hoxb1_Hoxb9"	NA	"two_genes_on_more_than_two_different_chr"
"lbergylta_gene_ensembl"	"Ballan wrasse genes (BallGen_V1)"	"BallGen_V1"	"Hoxb9_Hoxb13"	"38159"	""
"lcalcarifer_gene_ensembl"	"Barramundi perch genes (ASB_HGAPassembly_v1)"	"ASB_HGAPassembly_v1"	"Hoxb1_Hoxb9"	"145615"	"ignored_CYIF01000144.1_genes__"
"lcalcarifer_gene_ensembl"	"Barramundi perch genes (ASB_HGAPassembly_v1)"	"ASB_HGAPassembly_v1"	"Hoxb9_Hoxb13"	"48205"	""
"lchalumnae_gene_ensembl"	"Coelacanth genes (LatCha1)"	"LatCha1"	"Hoxb1_Hoxb9"	"97993"	""
